('Tax Provision', '18,061,000', '14,527,000', '9,680,000', '10,481,000', '13,372,000')
         686607 function calls (658497 primitive calls) in 2.108 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    72839    0.006    0.000    0.006    0.000 {method 'append' of 'list' objects}
66371/66351    0.008    0.000    0.009    0.000 {built-in method builtins.isinstance}
66279/59975    0.007    0.000    0.009    0.000 {built-in method builtins.len}
    30275    0.008    0.000    0.012    0.000 sre_parse.py:164(__getitem__)
    29716    0.010    0.000    0.010    0.000 sre_parse.py:233(__next)
    20105    0.005    0.000    0.012    0.000 sre_parse.py:254(get)
    14906    0.004    0.000    0.006    0.000 sre_parse.py:249(match)
    12711    0.002    0.000    0.002    0.000 {built-in method builtins.min}
    12041    0.003    0.000    0.004    0.000 sre_parse.py:160(__len__)
    12023    0.002    0.000    0.002    0.000 {method 'get' of 'dict' objects}
    11896    0.010    0.000    0.010    0.000 {method 'match' of 're.Pattern' objects}
    11872    0.002    0.000    0.002    0.000 {method 'startswith' of 'str' objects}
    10358    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
     7506    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
     7093    0.003    0.000    0.003    0.000 sre_parse.py:172(append)
6931/5680    0.001    0.000    0.027    0.000 {built-in method builtins.hasattr}
     6285    0.001    0.000    0.001    0.000 {method 'end' of 're.Match' objects}
     5830    0.002    0.000    0.002    0.000 sre_parse.py:111(__init__)
     5775    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
     5751    0.002    0.000    0.002    0.000 sre_parse.py:286(tell)
     5654    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
 5397/708    0.007    0.000    0.010    0.000 sre_parse.py:174(getwidth)
     5369    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
     5295    0.002    0.000    0.002    0.000 {method 'group' of 're.Match' objects}
 5089/227    0.018    0.000    0.048    0.000 sre_compile.py:71(_compile)
4912/4844    0.003    0.000    0.003    0.000 {method 'join' of 'str' objects}
     4838    0.002    0.000    0.004    0.000 _markupbase.py:44(updatepos)
     4437    0.000    0.000    0.000    0.000 element.py:1532(__bool__)
     4010    0.002    0.000    0.002    0.000 {built-in method builtins.getattr}
3978/2121    0.001    0.000    0.002    0.000 {built-in method builtins.hash}
     3846    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
 3759/271    0.035    0.000    0.092    0.000 sre_parse.py:493(_parse)
     3626    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
     3625    0.003    0.000    0.003    0.000 {method 'search' of 're.Pattern' objects}
     3616    0.002    0.000    0.004    0.000 typing.py:986(__setattr__)
     3616    0.001    0.000    0.002    0.000 typing.py:935(_is_dunder)
     3459    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
     3459    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
     3273    0.001    0.000    0.001    0.000 {built-in method builtins.max}
2963/2962    0.002    0.000    0.007    0.000 {built-in method builtins.next}
     2852    0.001    0.000    0.001    0.000 {method 'count' of 'str' objects}
     2682    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
     2682    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
     2591    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
     2489    0.002    0.000    0.006    0.000 __init__.py:558(endData)
     2434    0.000    0.000    0.000    0.000 {method 'start' of 're.Match' objects}
     2320    0.000    0.000    0.001    0.000 {built-in method _abc._abc_instancecheck}
     2320    0.000    0.000    0.001    0.000 abc.py:117(__instancecheck__)
     2251    0.001    0.000    0.002    0.000 css_parser.py:319(match)
     2087    0.003    0.000    0.003    0.000 element.py:157(setup)
2070/1999    0.001    0.000    0.019    0.000 typing.py:306(inner)
     1915    0.001    0.000    0.001    0.000 sre_parse.py:168(__setitem__)
     1915    0.000    0.000    0.000    0.000 element.py:1906(descendants)
     1866    0.001    0.000    0.001    0.000 __init__.py:122(unescape)
1790/1044    0.001    0.000    0.002    0.000 typing.py:1037(__hash__)
     1778    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:897(__exit__)
     1778    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:893(__enter__)
     1757    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
     1706    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
