('Tax Provision', '18,061,000', '14,527,000', '9,680,000', '10,481,000', '13,372,000')
         515243 function calls (496398 primitive calls) in 1.613 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      157    0.926    0.006    0.926    0.006 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.156    0.156    0.156    0.156 {method 'connect' of '_socket.socket' objects}
        1    0.085    0.085    0.085    0.085 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
        1    0.084    0.084    0.084    0.084 {method 'do_handshake' of '_ssl._SSLSocket' objects}
 3207/201    0.025    0.000    0.065    0.000 sre_parse.py:493(_parse)
        1    0.016    0.016    0.016    0.016 {built-in method _socket.getaddrinfo}
 3955/192    0.013    0.000    0.031    0.000 sre_compile.py:71(_compile)
       21    0.013    0.001    0.013    0.001 {method 'decompress' of 'zlib.Decompress' objects}
     1242    0.012    0.000    0.059    0.000 parser.py:300(parse_starttag)
    11878    0.011    0.000    0.011    0.000 {method 'match' of 're.Pattern' objects}
      149    0.010    0.000    0.010    0.000 {built-in method marshal.loads}
        2    0.009    0.004    0.095    0.047 parser.py:133(goahead)
    22062    0.007    0.000    0.007    0.000 sre_parse.py:233(__next)
      891    0.007    0.000    0.010    0.000 sre_compile.py:276(_optimize_charset)
     1243    0.007    0.000    0.016    0.000 element.py:1180(__init__)
        1    0.006    0.006    0.006    0.006 models.py:906(text)
      790    0.006    0.000    0.006    0.000 {built-in method __new__ of type object at 0x55c688c1f9a0}
  494/493    0.006    0.000    0.077    0.000 {built-in method builtins.__build_class__}
    23132    0.006    0.000    0.008    0.000 sre_parse.py:164(__getitem__)
    49075    0.005    0.000    0.006    0.000 {built-in method builtins.isinstance}
 3954/364    0.005    0.000    0.007    0.000 sre_parse.py:174(getwidth)
51815/47086    0.005    0.000    0.006    0.000 {built-in method builtins.len}
 1202/193    0.005    0.000    0.066    0.000 sre_parse.py:435(_parse_sub)
    59226    0.005    0.000    0.005    0.000 {method 'append' of 'list' objects}
     1242    0.004    0.000    0.025    0.000 __init__.py:694(handle_starttag)
     1242    0.004    0.000    0.030    0.000 _htmlparser.py:122(handle_starttag)
      944    0.004    0.000    0.007    0.000 __init__.py:295(_replace_cdata_list_attribute_values)
    14885    0.004    0.000    0.008    0.000 sre_parse.py:254(get)
        1    0.003    0.003    0.026    0.026 dammit.py:70(_populate_class_variables)
     1173    0.003    0.000    0.017    0.000 parser.py:385(parse_endtag)
     3635    0.003    0.000    0.003    0.000 {method 'search' of 're.Pattern' objects}
     1242    0.003    0.000    0.006    0.000 __init__.py:660(_popToTag)
